Sintering Temperature (°C),Heating Rate (°C/min),Holding Time (min),Cooling Rate (°C/min),Relative Density (%),Micro Hardness (Hv),Nano Hardness (GPa),Modulus of Elasticity (GPa),Stiffness (mN/nm),Plasticity Index,is_real
1150,90,15,100,99.7,549.0,10.3,369.0,2.74,0.037,1
1150,100,10,120,99.7,568.0,9.82,349.0,2.65,0.022,1
800,90,25,120,99.5,531.0,9.29,349.0,2.5,0.037,1
1200,120,25,110,100.0,567.0,10.14,339.0,2.83,0.035,1
1150,80,20,110,100.0,534.0,9.39,340.0,2.63,0.038,1
1000,90,20,90,99.8,568.0,9.84,349.0,2.72,0.018,1
850,120,15,100,98.8,571.0,9.29,344.0,2.44,0.031,1
1000,80,25,80,100.0,509.0,9.7,339.0,2.52,0.018,1
1200,120,25,80,100.0,543.0,10.24,373.0,2.58,0.032,1
900,110,10,100,99.4,508.0,9.84,362.0,2.67,0.03,1
1150,110,30,90,100.0,562.0,9.8,354.0,2.88,0.008,1
1100,100,30,110,100.0,543.0,9.79,340.0,2.66,0.009,1
1050,110,10,100,99.1,560.0,9.24,346.0,2.65,0.038,1
900,120,30,120,100.0,576.0,9.39,368.0,2.67,0.032,1
1150,100,25,120,100.0,568.0,10.06,360.0,2.9,0.022,1
800,110,30,120,100.0,513.0,9.26,344.0,2.89,0.016,1
800,80,20,120,99.9,521.0,9.28,358.0,2.77,0.034,1
850,120,25,90,99.9,576.0,9.14,359.0,2.76,0.039,1
1150,90,30,110,100.0,567.0,9.65,375.0,2.88,0.025,1
950,90,15,90,99.3,536.0,9.58,340.0,2.7,0.027,1
1150,90,30,100,100.0,598.0,10.14,366.0,2.83,0.015,1
800,80,20,100,99.5,585.0,9.17,353.0,2.66,0.028,1
1150,120,30,100,100.0,515.0,9.73,351.0,2.74,0.013,1
1000,100,25,100,100.0,506.0,9.57,364.0,2.57,0.017,1
1100,100,20,110,99.9,579.0,9.21,337.0,2.63,0.023,1
1200,100,30,90,100.0,596.0,9.5,361.0,2.77,0.029,1
1150,110,20,80,100.0,551.0,9.48,349.0,2.65,0.03,1
800,100,30,80,100.0,528.0,10.2,346.0,2.71,0.012,1
800,110,30,80,100.0,539.0,10.17,347.0,2.56,0.037,1
1050,120,15,120,99.3,533.0,9.33,346.0,2.53,0.02,1
950,120,20,80,99.9,529.0,9.13,345.0,2.71,0.016,1
800,80,30,120,100.0,514.0,9.8,366.0,2.74,0.038,1
1100,110,10,120,99.7,529.0,9.34,352.0,2.51,0.028,1
1000,120,15,90,99.1,550.0,9.35,336.0,2.51,0.016,1
1000,110,25,100,100.0,552.0,10.18,365.0,2.56,0.023,1
1100,80,20,100,99.9,505.0,9.47,358.0,2.82,0.039,1
800,90,25,120,99.5,592.0,9.97,347.0,2.59,0.017,1
1050,100,20,90,99.9,541.0,10.05,338.0,2.66,0.022,1
850,80,25,90,99.7,519.0,10.12,359.0,2.63,0.019,1
800,110,20,80,99.8,575.0,9.53,346.0,2.51,0.03,1
900,80,10,80,98.8,527.0,9.97,367.0,2.54,0.026,1
1050,90,30,90,100.0,576.0,10.16,358.0,2.88,0.027,1
1050,120,10,110,99.9,531.0,9.48,334.0,2.48,0.022,1
1100,110,10,90,99.5,496.0,9.68,346.0,2.59,0.039,1
800,100,10,100,98.3,540.0,9.76,349.0,2.41,0.033,1
900,110,20,110,99.7,541.0,10.06,351.0,2.67,0.027,1
1000,110,30,110,100.0,532.0,10.29,348.0,2.64,0.013,1
1100,110,20,110,99.9,569.0,9.84,367.0,2.6,0.037,1
1100,80,25,120,100.0,569.0,10.43,370.0,2.71,0.031,1
900,110,20,100,99.6,578.0,9.21,347.0,2.68,0.038,1
1000,90,25,90,100.0,509.0,9.45,344.0,2.57,0.03,1
1000,100,25,120,100.0,540.0,9.42,350.0,2.76,0.011,1
850,80,20,100,99.9,527.0,9.73,348.0,2.57,0.025,1
800,120,25,90,99.9,541.0,9.7,353.0,2.64,0.016,1
900,110,30,100,100.0,538.0,10.11,357.0,2.6,0.031,1
950,90,30,120,100.0,553.0,10.32,372.0,2.84,0.019,1
900,90,30,90,100.0,529.0,9.22,359.0,2.76,0.033,1
900,100,30,80,100.0,538.0,10.11,364.0,2.69,0.028,1
1000,80,25,110,100.0,529.0,10.17,348.0,2.56,0.033,1
850,90,30,90,100.0,581.0,9.94,374.0,2.89,0.011,1
950,90,30,110,100.0,517.0,9.98,373.0,2.8,0.015,1
850,90,25,120,99.9,561.0,9.45,357.0,2.66,0.04,1
950,120,10,100,98.6,508.0,9.34,342.0,2.67,0.033,1
1050,100,25,80,100.0,525.0,10.25,348.0,2.89,0.026,1
950,90,30,80,100.0,590.0,10.36,345.0,2.69,0.01,1
1000,120,15,80,99.4,543.0,9.22,339.0,2.59,0.027,1
800,110,15,90,99.2,532.0,9.48,353.0,2.44,0.019,1
1150,80,15,90,99.7,542.0,9.37,336.0,2.54,0.018,1
1200,100,30,90,100.0,598.0,10.37,350.0,2.84,0.01,1
1000,110,30,110,100.0,580.0,10.12,364.0,2.85,0.013,1
1200,90,30,80,100.0,582.0,10.29,354.0,2.92,0.037,1
1100,110,20,120,99.9,508.0,9.51,358.0,2.6,0.036,1
950,80,20,80,100.0,559.0,10.07,345.0,2.62,0.022,1
1200,110,25,80,100.0,545.0,9.48,357.0,2.65,0.025,1
1200,90,30,100,100.0,574.0,9.88,372.0,2.63,0.038,1
1200,90,15,80,99.9,579.0,10.36,356.0,2.68,0.025,1
1100,120,20,100,100.0,550.0,9.31,351.0,2.53,0.031,1
900,120,25,90,99.9,509.0,9.84,342.0,2.77,0.025,1
1000,110,10,90,99.8,540.0,9.16,354.0,2.7,0.019,1
1000,110,30,100,100.0,569.0,9.87,354.0,2.73,0.015,1
1000,110,10,100,99.7,523.0,9.68,340.0,2.43,0.024,1
1100,90,20,90,99.9,551.0,9.28,345.0,2.75,0.018,1
800,100,15,100,99.9,582.0,9.64,342.0,2.54,0.038,1
800,120,30,110,100.0,534.0,9.3,349.0,2.87,0.021,1
1100,80,30,80,100.0,591.0,9.41,352.0,2.63,0.03,1
1050,120,15,120,99.3,579.0,10.02,369.0,2.67,0.038,1
1050,80,30,100,100.0,569.0,9.52,346.0,2.82,0.029,1
1100,100,30,100,100.0,506.0,9.92,363.0,2.73,0.037,1
900,120,15,80,99.2,538.0,9.13,362.0,2.51,0.03,1
1200,120,30,120,100.0,570.0,9.98,363.0,2.7,0.036,1
1050,120,15,110,99.8,590.0,10.01,356.0,2.7,0.03,1
800,100,10,90,98.2,515.0,8.77,335.0,2.39,0.022,1
800,90,20,120,99.5,565.0,9.66,338.0,2.56,0.016,1
1150,120,25,90,100.0,554.0,9.47,368.0,2.81,0.022,1
1150,100,30,80,100.0,501.0,10.02,362.0,2.66,0.038,1
950,90,30,120,100.0,517.0,9.64,373.0,2.7,0.035,1
800,90,15,110,99.8,504.0,9.8,335.0,2.64,0.028,1
1000,90,10,100,98.7,581.0,10.01,339.0,2.63,0.025,1
850,120,30,80,100.0,525.0,10.08,370.0,2.75,0.033,1
1050,80,15,110,99.4,563.0,10.09,346.0,2.72,0.017,1
1200,100,20,110,100.0,549.0,9.55,359.0,2.65,0.03,1
1000,100,15,80,99.2,495.0,9.57,349.0,2.7,0.027,1
950,110,30,120,100.0,520.0,9.33,369.0,2.92,0.009,1
900,90,25,80,99.80577839949441,548.708173083083,9.540802947999248,344.51173952962904,2.7849834092515255,0.016044343718569158,0
1000,110,30,110,99.9218479834672,554.7701869091701,10.193972668774839,356.18807549894626,2.647739195416215,0.008830658692322024,0
1000,100,25,120,100.0,536.9996298437993,9.510783188294,351.33018217289737,2.715822429249545,0.027235514252822064,0
1150,90,30,110,100.0,567.7572791998781,9.797509717893677,370.636873849262,2.88599180795955,0.008,0
850,120,25,90,99.91301842700634,560.6056494469375,9.375278345276506,356.03848710343834,2.730059031974953,0.04,0
1100,90,20,90,99.90709937526205,546.2968544395628,9.37298136041477,346.07446898704507,2.62920229064638,0.04,0
900,80,30,100,100.0,564.9785433913701,9.711519468970193,362.9193920764686,2.615216592033681,0.008,0
900,100,30,80,100.0,537.0691771340206,10.054873423204981,360.74174164908834,2.718733806065606,0.04,0
950,80,30,120,99.9823190050133,559.0225445631714,10.078002529662403,371.60066016767126,2.5701889040403874,0.008,0
950,90,30,110,99.93419422312861,533.566190553594,10.181468949114869,366.1092518417832,2.7496258950631054,0.008,0
800,80,30,120,99.95550217640286,525.1296438691047,9.81886201964588,363.33332511411885,2.7221818875859483,0.01073994915606102,0
1050,80,15,110,99.5339756418131,551.1424765743404,9.94416007947756,345.9974556034006,2.710972087975572,0.010244890664265104,0
1050,100,25,80,99.93173861506249,523.2915550254908,10.115225795270513,348.1398614058253,2.8432324260948016,0.04,0
1150,80,15,90,99.7575540055881,541.4912129825635,9.58171820934456,341.78264498535134,2.5902705350316864,0.008,0
950,90,30,110,99.91998537535805,533.5892500076685,10.010682307823204,366.14156020835156,2.77602965756473,0.008,0
1200,90,30,80,100.0,581.4833830878912,10.048866485139644,356.17363649289103,2.87029783287207,0.04,0
1050,120,15,120,99.38545100815739,556.9871937777615,9.767726559866741,357.5324082754967,2.546382367674505,0.008,0
900,90,20,100,99.84387296660026,527.301896654717,9.440650704913757,354.8875226247097,2.62572484388614,0.008,0
1000,110,10,90,99.76857654204787,540.0345785031368,9.396741870184531,350.1128726167259,2.647867986469354,0.008,0
1150,90,30,100,99.97120346108063,582.9746151508618,9.929016746481254,364.9962800371431,2.886187909772195,0.008,0
800,110,30,80,99.96392927791986,537.5578131559982,10.11133742188899,348.8402063273356,2.6229718155651773,0.04,0
1200,120,25,80,100.0,546.2873135261967,10.048277433216771,364.50441885113685,2.6057693843827243,0.008,0
1000,90,20,100,99.68644137914745,516.649545322853,9.869717164502687,360.3458232624755,2.677180725094021,0.022315161906730024,0
800,90,20,120,99.54370667888203,554.8176183831972,9.571781917483612,342.91847199005963,2.554218280091836,0.03467214097757767,0
1200,90,30,80,99.9194419612904,581.4942055225268,10.093513903998229,356.18787582858926,2.855761675156171,0.008,0
900,110,20,100,99.61177995474884,563.5868518830058,9.481759687604292,349.2279992188966,2.699751121476289,0.04,0
900,120,30,120,99.99771140220764,558.7455301098668,9.57171933196637,366.0875454370367,2.7254122962877485,0.008,0
1100,120,20,100,99.94197519768304,546.3981296216413,9.523530921307362,350.812813954017,2.5786008016361506,0.02699586358044154,0
1000,110,25,100,100.0,542.3637112342154,9.919838954569439,361.9396672710985,2.555249534051346,0.008,0
950,90,15,90,99.3082433659896,536.6314330554106,9.609310799210128,343.8785584903243,2.6612547119824908,0.04,0
1150,90,30,100,100.0,582.963953149217,10.059715135778145,364.96343388599905,2.8679072163893324,0.008,0
1200,110,10,110,99.54669910893406,531.5905791822835,10.042366876852595,344.26865649603576,2.4614719508315925,0.027799022651068806,0
900,90,25,80,99.82593373768768,548.7893728338113,9.536580197588705,344.4907414979512,2.747778666343729,0.04,0
800,90,25,120,99.5916677679053,560.9852861928044,9.686442392352332,348.50779635602913,2.6111719736259458,0.01751110014990972,0
1050,80,30,100,99.99343418236053,569.3452023534792,9.630516052711888,351.34662653747785,2.758747823053277,0.0270528222438412,0
1050,120,15,80,99.69377642483357,533.6114139616952,9.602779102697918,347.83419746388813,2.611074551131646,0.04,0
1100,90,20,90,99.91937138981953,546.4031508384676,9.453019838697445,346.11756666117435,2.793686109726098,0.04,0
900,120,25,90,99.86074872389037,532.2849165954586,9.849238503848392,344.63499041631866,2.8463593345992213,0.026436311356736672,0
950,90,25,90,99.95619678699238,514.8738063951749,9.71489791633871,357.72488817301365,2.6733161854851226,0.008,0
1100,110,20,110,99.97108954538113,560.1582779039616,9.749705680344722,359.8235609623708,2.532791601702044,0.008,0
800,80,15,90,99.16101125961617,540.1173730906347,9.350605313842593,354.17257822810484,2.7090686249840963,0.008,0
800,110,15,90,99.24631804585975,536.1555854644384,9.462521306656651,352.8329356489444,2.4581102262855508,0.010625794521067522,0
1000,80,25,110,100.0,529.0198706168374,9.96934671397081,350.0370439988467,2.5659343153209737,0.015650240029878283,0
850,120,15,100,99.1181863958812,566.0912952632026,9.37729900386483,345.80757771382815,2.5342731024775387,0.04,0
1000,100,10,90,99.48814977034576,559.9346309210187,9.412287015227744,344.7956602929938,2.46740286348333,0.008,0
850,120,30,80,100.0,533.8753630843092,10.092339195430643,365.3461657796994,2.832952905888975,0.011141771781757924,0
950,90,15,90,99.3771888110146,536.5998546253385,9.521946712026363,343.916373207002,2.7056117127954398,0.020199843314142766,0
1050,80,30,100,100.0,569.4442496276924,9.667653558025258,351.29808132134235,2.7945137684171724,0.008,0
900,110,30,100,100.0,545.4141170896933,10.012244184190138,357.69852017448176,2.598143251554379,0.008,0
1000,110,30,110,99.96509402559597,554.7786567957326,10.19721499270668,356.20074438878544,2.69109499904614,0.022002842683277513,0
800,110,15,90,99.3246354678411,536.3079559419116,9.426582677573315,352.8664794393457,2.39,0.008,0
1000,100,10,110,98.98437377348112,516.0552925484542,10.018406426949715,338.4142198223864,2.508529865068333,0.008,0
1000,80,25,80,99.9401666691366,517.5748979742066,9.72642147124916,342.21588478174243,2.4782724049877265,0.04,0
1000,100,25,100,99.91003464018063,516.4583990220576,9.624212112598359,360.97134505594755,2.6009894729826373,0.029852742837123608,0
800,100,30,80,100.0,533.3263875664751,10.143570697141266,349.7389019195533,2.6753378867938307,0.04,0
1000,110,25,80,99.94687856027782,512.1970048542371,9.737052888344367,349.2489853740204,2.483143554450563,0.03458244291231516,0
1000,110,25,100,99.95659947470772,542.2285084463155,9.924068724865084,361.9528748369409,2.6275451512213874,0.04,0
800,120,30,110,99.96012193542384,532.4394339374159,9.328189380954523,353.2668840306793,2.8024450855337113,0.04,0
950,90,30,80,99.94388260203236,571.4014466749851,10.158911303287063,350.5797103251235,2.685699826291626,0.008,0
950,90,30,120,99.97305782129452,536.6987561488912,9.923579132829733,371.58209855642747,2.800560396926436,0.04,0
800,100,10,90,98.55354887718029,521.1570154185818,9.022629472813756,340.7605455012587,2.39,0.008,0
950,90,30,80,99.9998789367478,571.4532102284925,10.134758741897668,350.4186613214031,2.718169833836771,0.04,0
1000,80,25,80,99.97296494215621,517.6301817541952,9.696420308100025,342.13787244631874,2.535273150085284,0.01149719175729785,0
850,120,30,80,99.95516722011375,534.0034516403739,10.038566901473983,365.2972894292871,2.775430899681833,0.04,0
1150,100,25,120,100.0,563.7367432134322,9.94769401047727,357.75206148728864,2.822403328388181,0.018464722795747027,0
1150,100,10,120,99.64652633743306,554.9677187768415,9.695185138867238,348.99074363181074,2.5238988482442988,0.04,0
900,120,15,80,99.27269665106485,540.8149878490935,9.242668192339123,357.1351596965165,2.531524973073517,0.025114011607364723,0
1200,120,25,80,100.0,546.1869777097025,10.012776441881119,364.48532793175747,2.5276449884084116,0.021344066152799178,0
1000,100,15,100,99.79905717765442,535.1973835509089,9.571333795128739,353.164520575348,2.590886952808165,0.04,0
1000,100,25,100,100.0,516.4775675745257,9.64825656611639,361.0007487424964,2.550204971231798,0.01633886096012172,0
950,80,20,80,99.88162035667762,548.8812102933392,10.088176562069538,345.7015221151782,2.653532887119955,0.008,0
1050,90,20,100,99.85281630260783,510.3938566155168,9.77247660914867,344.13871147517966,2.5316768774367064,0.008,0
1150,120,30,100,100.0,532.467372665066,9.662319200726058,354.28030320839156,2.7212023804602987,0.008,0
900,90,20,100,99.74078024620678,527.3736306870678,9.455850193770889,354.84868273507095,2.6322077162164694,0.017242757511871497,0
950,90,30,120,100.0,536.6736129281646,9.969260338730862,371.67864177562257,2.6756819397813243,0.04,0
1100,100,20,110,99.8508352621663,568.2760736979486,9.407379015238165,344.6979210673322,2.630405209650717,0.009869331177294213,0
800,90,25,120,99.44897865572041,561.0194224521013,9.571362617471413,348.52787001523023,2.566197161185903,0.04,0
1200,110,10,110,99.59894065603741,531.5077907498078,9.969589398750784,344.27497484320014,2.508934221333319,0.03700129502188479,0
1050,100,20,90,99.85058020286758,542.255689654422,9.938193215999028,342.4798806716869,2.662994848632158,0.016362174831081554,0
800,120,25,90,99.85594779432469,547.4275221999262,9.541923622660924,353.99792698944015,2.6317484483642137,0.008,0
1150,100,30,80,100.0,527.8164591714516,9.97860019543241,359.85134360894665,2.7631080861953468,0.04,0
1150,90,30,110,100.0,567.7683018575849,9.870001789527304,370.5786696848037,2.8135284222901795,0.008,0
800,80,15,90,99.16415654167893,540.1089661656646,9.289859326506253,354.12659153531604,2.658231665769081,0.04,0
900,120,25,90,99.86946736385843,532.3990020753608,9.848042975900968,344.6351234996604,2.7435736397556667,0.008,0
1100,110,20,110,99.9853268498581,560.2307512214276,9.814043667303798,359.7700925888891,2.57509338218747,0.008,0
1000,80,25,110,99.93408566560251,529.0517301330863,9.952674897123057,350.02144199430273,2.570994881586924,0.04,0
950,90,30,110,99.9875474519619,533.56771345318,10.054676033221202,366.1800679094488,2.736974996296867,0.04,0
800,100,20,90,99.3851818828366,557.9398614025105,9.192531154835399,361.32690083061124,2.5647959754897443,0.014024997207917403,0
1200,100,30,90,100.0,589.4314413768586,9.910022317840312,356.0581694891644,2.858628949675158,0.008,0
900,120,25,90,99.86795291520286,532.3466354157073,9.855796487050217,344.64585647196947,2.7431847687507975,0.008,0
1150,90,30,110,99.98816964538794,567.773659582257,9.735287988231235,370.579402634926,2.9041800042365264,0.008,0
1200,110,25,80,100.0,546.7706848991673,9.657446975887023,357.57131150256845,2.6805189381839614,0.024324206279256605,0
1000,110,30,100,100.0,560.4269864310928,10.00585397908025,355.42567954800694,2.663513941571947,0.04,0
1100,100,30,110,100.0,541.0100204759475,9.802178705052645,347.6593720113976,2.720919129299339,0.008,0
1100,100,30,100,99.96640045798726,525.5338538486827,9.864704650889184,358.7941806008197,2.7526749098767467,0.025940691789318078,0
800,90,10,120,99.40312878749853,515.7420157054237,9.258893363635146,340.5554873450823,2.409163609090849,0.015157866811283416,0
900,80,30,110,100.0,547.0128722929654,9.53490209100092,367.22777390137134,2.720003130662255,0.008,0
950,90,30,120,99.97184044090126,536.5674652647054,9.96321346515302,371.5735023673701,2.7531945522583405,0.008,0
1100,80,25,120,99.88850043232297,562.867327080256,10.225574307976995,364.2599010322694,2.638716809110899,0.008,0
1200,80,15,120,99.86946223372705,567.2380016404593,9.53054239243607,342.57040708539324,2.710881089512851,0.04,0
900,120,25,90,99.82659710534244,532.3745723749182,9.779509540879653,344.6850554910008,2.7346732890588346,0.04,0
1000,100,10,110,99.01328861729881,516.2152059810326,9.894861328881957,338.34760976494323,2.432293273603121,0.008,0
1200,110,25,80,99.97472471259482,546.7834179553425,9.748602346997053,357.6065545466534,2.6259700169110274,0.008,0
900,90,10,110,99.12643363005023,524.2474194646466,9.842061281991654,341.9796084970253,2.606907310313097,0.04,0
950,80,20,80,99.92702503490212,548.8455021368903,9.928973742382187,345.74728351522094,2.648928779312467,0.025486818473310666,0
1100,110,20,120,99.85292793794673,528.9891623272944,9.529798083629672,357.619988295622,2.530728679329269,0.01406971728571359,0
1200,90,30,80,100.0,581.4517873628802,10.150990690170659,356.2300991679322,2.8616946588189354,0.008,0
850,80,20,100,99.78148551504754,537.809212822811,9.674493960527345,350.14647363838196,2.5204467656981144,0.008,0
1000,100,25,100,100.0,516.446308779843,9.761059605091829,360.94132445019494,2.5791358916516804,0.008,0
1000,80,25,110,99.92480807827428,529.0522106180873,9.944141712053476,349.9828317695092,2.5965080085677505,0.04,0
950,90,25,90,100.0,514.9293244541276,9.725915332237728,357.7229405895684,2.5957110969270656,0.008,0
1200,90,30,80,99.95434168159728,581.4406012804145,10.111628551727941,356.124083747474,2.8212906403551985,0.04,0
800,90,25,120,99.49078315077317,561.0863777505465,9.56928852158569,348.4424559083365,2.5908956314311746,0.01646032414932795,0
800,80,20,100,99.53248320041236,567.5061246269294,9.319528430050854,352.2292836956203,2.6155035388663443,0.04,0
800,110,30,80,100.0,537.5841432122378,10.072388826900124,348.82858086143705,2.632954898644846,0.04,0
850,80,25,90,99.79846255964766,528.9974355746633,9.88843123804836,357.2730328848743,2.665886394731902,0.04,0
1100,90,10,80,99.28180493245375,517.5981489154487,9.72144843198339,350.89437764181565,2.4815575236089082,0.04,0
1200,80,15,120,99.84529094254337,567.2529173457085,9.461585296853512,342.69007269506795,2.6971460017900046,0.008,0
950,120,10,80,98.74361410451121,564.1626676206064,9.596114470721727,348.24702601585034,2.641747635471746,0.015704800405209926,0
800,120,10,110,98.95156084412994,500.5946396545753,9.249195717258178,349.80560389153186,2.6409972730260995,0.04,0
1150,90,30,110,99.94422869819414,567.7279179574261,9.771356185018846,370.6070664374932,2.839399442715022,0.04,0
800,120,25,90,99.96057732838285,547.4075112511495,9.65334972149936,353.9222770004512,2.5493827871953396,0.04,0
1000,100,25,120,100.0,536.9989746296908,9.527970683749414,351.2842993888945,2.7428204204217175,0.024289923578865467,0
1000,100,25,100,99.944780655151,516.5112005851814,9.712039722150088,361.1240005420768,2.6351995985776124,0.04,0
1100,90,20,90,99.8894036683378,546.3209793294512,9.336095874295497,345.9972207079969,2.7357319232032227,0.008,0
1050,100,20,90,99.89280145399938,542.2482530553903,9.969498195291816,342.46070589232244,2.6216197765315883,0.04,0
1000,100,15,100,99.83002265167599,535.255969874135,9.572971468364535,353.1182685381805,2.5466148844227665,0.04,0
1150,80,15,90,99.74608575953097,541.4758186749791,9.47528951298996,341.91989900709063,2.675547434918673,0.008,0
800,110,20,80,99.705997319854,563.9442064239607,9.458669244567643,349.75646534534,2.4655309255948348,0.024949236937809996,0
1100,80,25,120,100.0,562.9001299577177,10.094446013481882,364.19935787109546,2.7160042426453197,0.008,0
1050,100,20,90,99.88663089444235,542.1332147501972,9.926859813838032,342.4015683168463,2.712814061688709,0.008,0
800,90,25,120,99.54181841536248,560.9499992131718,9.608730327674348,348.57027048153725,2.4768478417405086,0.008,0
900,90,25,80,99.71433537426675,548.8558675680002,9.522250925023094,344.4245074206321,2.7285109634114812,0.019100112380475404,0
800,90,25,120,99.58369800166037,561.086659769637,9.669583296834823,348.4700445768356,2.520223195195649,0.00865321795499844,0
950,80,20,80,99.9677108077094,548.8910046769312,9.931454827068034,345.64782824645994,2.6566914359803895,0.014114445025293888,0
1100,80,10,120,99.29480515399585,532.5108802429446,9.327053693802085,343.13617837442564,2.5945611972872924,0.04,0
1100,110,10,90,99.44459810015,509.15923429357423,9.58102338448991,346.89748494072273,2.589003837242335,0.008,0
950,90,10,80,99.60136934821902,550.6638456333321,9.916138455172826,355.6341405091455,2.5061282039036876,0.04,0
1000,90,20,90,99.8476446124599,550.810438972449,9.806947444937634,349.45093209521247,2.646343796612804,0.03211780047562565,0
1150,90,30,110,100.0,567.7310769720431,9.81194160597502,370.58071251904914,2.92,0.04,0
1200,100,20,110,100.0,551.6261189375568,9.518180371695813,354.8345863977784,2.6325826217484907,0.04,0
900,120,25,90,99.97178091354375,532.4121475847487,9.770602898390024,344.6040378221128,2.780559616715533,0.008,0
950,90,25,90,99.87248772001966,514.8631026519732,9.769865996120224,357.722165203002,2.7109625479008574,0.04,0
1150,100,25,120,100.0,563.6931764888255,9.949267554486525,357.68041196958717,2.7342448949502574,0.013797678095473507,0
1000,100,15,80,99.32135131605573,510.16756216799456,9.537787558274518,347.1950606188027,2.7609371893642805,0.04,0
1100,90,20,90,99.84158388455188,546.4285970661526,9.500647281577367,346.0909559307883,2.732103887673066,0.03495177031514027,0
1100,90,10,80,99.29221393555126,517.6525273452467,9.676281524629276,350.87769521635795,2.408185568973011,0.008,0
900,80,30,110,100.0,547.0882957469132,9.545285605171655,367.2601194077383,2.782905682713804,0.04,0
1100,120,20,100,99.94380215258673,546.461032781982,9.517303654793867,350.85331503836574,2.5060586481786324,0.04,0
1100,120,15,90,99.6633900396056,544.6601334260673,9.967821962112248,351.4468753966044,2.5847905018196053,0.04,0
1100,90,20,90,99.82060900938727,546.4151878560152,9.413371135098938,346.04412903623455,2.75675458403406,0.008193968838720206,0
1200,120,20,110,100.0,530.4858123998167,10.114454445359806,343.01631470495863,2.5738699017988975,0.008,0
1050,120,15,110,99.67903310073231,571.9832354606835,9.917765158202233,353.68550038481675,2.6931698269680555,0.008,0
1100,80,15,80,99.81894908004796,517.8404257705918,10.020842067732051,341.388126530652,2.714621513603259,0.04,0
1150,90,30,110,100.0,567.8249503049774,9.819621075094675,370.5875419997629,2.8572889529397867,0.04,0
